# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
     1   2.1027633594e-06   0.0000000000e+00   2.1027634220e-06   0.0000000000e+00      -8.380300      -8.380300
     2   1.1840669454e-05   8.1613948324e-02   1.1840691824e-05   8.1614086092e-02      -7.510800      -7.510800
     3   4.2608402048e-06   1.8086965558e-02   4.2608403559e-06   1.8086955399e-02      -7.379100      -7.379100
     4   4.2608649500e-06   1.8087172948e-02   4.2608645627e-06   1.8087158277e-02      -7.379100      -7.379100
     5   4.4554637246e-06   1.9718116416e-02   4.4554628875e-06   1.9718096992e-02      -7.308400      -7.308400
     6   4.4556213188e-06   1.9719437222e-02   4.4556211086e-06   1.9719423051e-02      -7.308300      -7.308300
     7   5.3809345675e-06   2.7474540519e-02   5.3809332342e-06   2.7474512262e-02      -7.204000      -7.204000
     8   2.1109668354e-05   1.5929795861e-01   2.1109697168e-05   1.5929810357e-01      -6.679600      -6.679600
     9   5.2959389774e-06   2.6762187614e-02   5.2959424000e-06   2.6762199646e-02      -6.372500      -6.372500
    10   5.2964695248e-06   2.6766634162e-02   5.2964675793e-06   2.6766601201e-02      -6.372500      -6.372500
    11   6.1949729549e-06   3.4297042836e-02   6.1949709270e-06   3.4297004644e-02      -6.348600      -6.348600
    12   6.1947808381e-06   3.4295432693e-02   6.1947804692e-06   3.4295408407e-02      -6.348600      -6.348600
    13   4.4902205518e-06   2.0009415374e-02   4.4902207900e-06   2.0009404787e-02      -6.334000      -6.334000
    14   6.4363245262e-06   3.6319824168e-02   6.4363255226e-06   3.6319810104e-02      -6.287100      -6.287100
    15   6.2499027496e-06   3.4757412589e-02   6.2499737674e-06   3.4757986320e-02      -6.284300      -6.284300
    16   6.2604599563e-06   3.4845893142e-02   6.2604639909e-06   3.4845905431e-02      -6.284300      -6.284300
    17   4.5656598358e-06   2.0641676332e-02   4.5656606483e-06   2.0641670176e-02      -6.174000      -6.174000
    18   4.5653523770e-06   2.0639099502e-02   4.5653526689e-06   2.0639088984e-02      -6.174000      -6.174000
    19   5.2324125984e-06   2.6229769396e-02   5.2324116532e-06   2.6229745142e-02      -6.009900      -6.009900
    20   1.0047349936e-05   6.6584034799e-02   1.0047355609e-05   6.6584041696e-02      -5.589700      -5.589700
    21   5.9200538383e-06   3.1992929984e-02   5.9200545024e-06   3.1992915744e-02      -5.297100      -5.297100
    22   4.2266866210e-06   1.7800722417e-02   4.2266972670e-06   1.7800800389e-02      -5.268900      -5.268900
    23   4.2273430962e-06   1.7806224373e-02   4.2273489897e-06   1.7806262511e-02      -5.268900      -5.268900
    24   4.3942469709e-06   1.9205055300e-02   4.3942468790e-06   1.9205042430e-02      -5.213600      -5.213600
    25   4.4361603973e-06   1.9556334125e-02   4.4361552921e-06   1.9556279028e-02      -5.205800      -5.205800
    26   4.4360888735e-06   1.9555734681e-02   4.4361020046e-06   1.9555832422e-02      -5.205800      -5.205800
    27   5.7853241138e-06   3.0863752452e-02   5.7853234794e-06   3.0863728009e-02      -4.980000      -4.980000
    28   5.5674775335e-06   2.9037967794e-02   5.5674782110e-06   2.9037955447e-02      -4.461600      -4.461600
    29   4.6891252121e-06   2.1676446717e-02   4.6891354656e-06   2.1676519063e-02      -4.340900      -4.340900
    30   4.6892780285e-06   2.1677727479e-02   4.6892873165e-06   2.1677791734e-02      -4.340900      -4.340900
    31   4.8557511187e-06   2.3072947976e-02   4.8557393355e-06   2.3072834790e-02      -4.320000      -4.320000
    32   4.8560886917e-06   2.3075777196e-02   4.8560603917e-06   2.3075525579e-02      -4.320000      -4.320000
    33   5.6731788690e-06   2.9923856737e-02   5.6731749625e-06   2.9923805437e-02      -4.277700      -4.277700
    34   1.1487025867e-05   7.8650041180e-02   1.1487026845e-05   7.8650001452e-02      -3.885100      -3.885100
    35   8.2670826687e-06   5.1663512943e-02   8.2670837196e-06   5.1663490089e-02      -3.473700      -3.473700
    36   6.9736273153e-06   4.0822989596e-02   6.9736195898e-06   4.0822899719e-02      -3.466900      -3.466900
    37   6.9742197130e-06   4.0827954514e-02   6.9742187931e-06   4.0827921674e-02      -3.466900      -3.466900
    38   7.0396112428e-06   4.1376004668e-02   7.0396258832e-06   4.1376101909e-02      -3.454500      -3.454500
    39   7.0397985806e-06   4.1377574758e-02   7.0398241133e-06   4.1377763286e-02      -3.454400      -3.454400
    40   7.1041790470e-06   4.1917151131e-02   7.1041829390e-06   4.1917157963e-02      -3.441600      -3.441600
    41   7.0460194408e-06   4.1429712143e-02   7.0460161864e-06   4.1429659374e-02      -3.425300      -3.425300
    42   6.6320087102e-06   3.7959864514e-02   6.6320108123e-06   3.7959858729e-02      -3.424200      -3.424200
    43   6.6330021669e-06   3.7968190731e-02   6.6330037879e-06   3.7968180909e-02      -3.424200      -3.424200
    44   6.0280511104e-06   3.2898061303e-02   6.0280228425e-06   3.2897804036e-02      -3.406900      -3.406900
    45   6.0289164662e-06   3.2905313899e-02   6.0289341524e-06   3.2905441772e-02      -3.406900      -3.406900
    46   6.1842180061e-06   3.4206904994e-02   6.1842281949e-06   3.4206969246e-02      -3.402300      -3.402300
    47   5.8192211440e-06   3.1147845402e-02   5.8192229466e-06   3.1147841213e-02      -3.385000      -3.385000
    48   5.8192781586e-06   3.1148323245e-02   5.8192633496e-06   3.1148179832e-02      -3.385000      -3.385000
    49   7.8529923396e-06   4.8192998195e-02   7.8529900830e-06   4.8192949712e-02      -3.329700      -3.329700
    50   6.2233213026e-06   3.4534631960e-02   6.2233512714e-06   3.4534861792e-02      -3.326900      -3.326900
    51   6.2260507585e-06   3.4557507686e-02   6.2260571092e-06   3.4557539560e-02      -3.326900      -3.326900
    52   1.0234307811e-05   6.8150939456e-02   1.0234303742e-05   6.8150863750e-02      -3.307800      -3.307800
    53   6.5933121836e-06   3.7635546710e-02   6.5933143858e-06   3.7635541959e-02      -3.305500      -3.305500
    54   6.5945408511e-06   3.7645844243e-02   6.5945119339e-06   3.7645578673e-02      -3.305500      -3.305500
    55   7.6017186464e-06   4.6087058990e-02   7.6017153727e-06   4.6087003252e-02      -3.212600      -3.212600
    56   7.5991714221e-06   4.6065710557e-02   7.5991786206e-06   4.6065742600e-02      -3.212600      -3.212600
    57   8.7428352436e-06   5.5650822502e-02   8.7428440701e-06   5.5650862413e-02      -3.098900      -3.098900
