# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
     1   2.1125644393e-06   0.0000000000e+00   2.1125654874e-06   0.0000000000e+00      -8.249400      -8.249400
     2   2.2999144445e-05   1.7376304266e-01   2.2999185871e-05   1.7372504225e-01      -7.446000      -7.446000
     3   4.0181280020e-06   1.5853075159e-02   4.0181132554e-06   1.5849446221e-02      -7.229500      -7.229500
     4   4.0174967056e-06   1.5847823175e-02   4.0174714070e-06   1.5844107629e-02      -7.229400      -7.229400
     5   3.9109272897e-06   1.4961233511e-02   3.9109263449e-06   1.4957916131e-02      -7.202700      -7.202700
     6   3.9107699195e-06   1.4959924291e-02   3.9107781146e-06   1.4956683221e-02      -7.202700      -7.202700
     7   4.2830678764e-06   1.8057206169e-02   4.2830673770e-06   1.8053209450e-02      -7.163500      -7.163500
     8   1.6766026161e-05   1.2190746851e-01   1.6766037112e-05   1.2188065519e-01      -6.578800      -6.578800
     9   5.6959637126e-06   2.9811599632e-02   5.6959349087e-06   2.9804774189e-02      -6.249800      -6.249800
    10   5.6949465018e-06   2.9803137086e-02   5.6948807656e-06   2.9796006325e-02      -6.249700      -6.249700
    11   5.6304668126e-06   2.9266707140e-02   5.6304769858e-06   2.9260326106e-02      -6.210000      -6.210000
    12   5.6301299158e-06   2.9263904373e-02   5.6301277257e-06   2.9257421126e-02      -6.209900      -6.209900
    13   5.0936028318e-06   2.4800340756e-02   5.0936511608e-06   2.4795262472e-02      -6.200100      -6.200100
    14   5.0881368267e-06   2.4754867075e-02   5.0881311757e-06   2.4749349843e-02      -6.200100      -6.200100
    15   6.4677765778e-06   3.6232591090e-02   6.4677452447e-06   3.6224327988e-02      -6.197800      -6.197800
    16   5.6783888580e-06   2.9665388035e-02   5.6785538704e-06   2.9660206922e-02      -6.197300      -6.197300
    17   5.6956031156e-06   2.9808599695e-02   5.6957527093e-06   2.9803258740e-02      -6.197300      -6.197300
    18   4.4433843174e-06   1.9390936851e-02   4.4433897486e-06   1.9386695206e-02      -6.196500      -6.196500
    19   5.0778228231e-06   2.4669061135e-02   5.0778238753e-06   2.4663618587e-02      -6.059600      -6.059600
    20   8.8217399523e-06   5.5816067091e-02   8.8217438669e-06   5.5803776581e-02      -5.453000      -5.453000
    21   5.8847081942e-06   3.1381833505e-02   5.8847387956e-06   3.1375155735e-02      -5.241700      -5.241700
    22   4.1237692654e-06   1.6731943186e-02   4.1236706101e-06   1.6727422435e-02      -5.241400      -5.241400
    23   4.1250552056e-06   1.6742641390e-02   4.1254561231e-06   1.6742273489e-02      -5.241300      -5.241300
    24   4.1076871566e-06   1.6598150283e-02   4.1066346489e-06   1.6585725357e-02      -5.220900      -5.220900
    25   4.0987002564e-06   1.6523384998e-02   4.0969765154e-06   1.6505393565e-02      -5.220900      -5.220900
    26   3.7371296085e-06   1.3515347498e-02   3.7371312006e-06   1.3512370215e-02      -5.220400      -5.220400
    27   5.0924267232e-06   2.4790556282e-02   5.0924269399e-06   2.4785079980e-02      -5.099500      -5.099500
    28   1.0421645379e-05   6.9126261241e-02   1.0421649678e-05   6.9111037378e-02      -4.481400      -4.481400
    29   4.1924521966e-06   1.7303341429e-02   4.1924509538e-06   1.7299504845e-02      -4.240200      -4.240200
    30   4.1922684840e-06   1.7301813057e-02   4.1922628769e-06   1.7297940510e-02      -4.240200      -4.240200
    31   4.2002973596e-06   1.7368608188e-02   4.2002962487e-06   1.7364758302e-02      -4.225900      -4.225900
    32   4.2003519897e-06   1.7369062675e-02   4.2004013605e-06   1.7365632573e-02      -4.225900      -4.225900
    33   5.1271102975e-06   2.5079101529e-02   5.1271101760e-06   2.5073558755e-02      -4.126900      -4.126900
    34   9.3089071740e-06   5.9868988091e-02   9.3089052295e-06   5.9855754677e-02      -3.846800      -3.846800
